tmdb_id,title,popularity,release_date
915896,My Life as Lotta - Okey Dokey Alpaca,3.3008,2022-08-18
894169,Vendetta,3.5221,2022-05-17
1267637,Mission is Feasible,3.8692,2022-10-27
683056,James,3.8323,2022-03-17
804095,The Fabelmans,3.5919,2022-11-11
877816,Viaggio a sorpresa,3.0762,2022-06-08
1030598,In Bed,3.8925,2022-12-29
977730,Supper,3.0826,2022-06-02
760161,Orphan: First Kill,3.3364,2022-07-27
1237380,Cattivissimo Me,2.8833,2022-11-23
799876,The Outfit,2.9629,2022-02-25
1444659,Last Autumn,3.4043,2022-11-16
814609,Zombivli,3.1576,2022-01-26
787752,Fresh,3.5071,2022-03-03
830788,The Invitation,3.3004,2022-08-24
894205,Werewolf by Night,3.4127,2022-09-25
814338,Lady Chatterley's Lover,4.0982,2022-11-22
760741,Beast,3.7185,2022-08-11
955575,Lekh,3.1421,2022-04-01
591108,Theal,3.3254,2022-01-14
656663,Jackass Forever,3.9759,2022-02-01
1044763,A Story of Vengeance,3.2767,2022-11-04
833339,Speak No Evil,3.3783,2022-03-17
947890,The Ancestral,3.0326,2022-03-24
1008547,Terrible Teens,2.7649,2022-08-14
716814,The Wait,3.7163,2022-04-01
774752,The Guardians of the Galaxy Holiday Special,3.2646,2022-11-24
698128,Dual,3.2452,2022-03-18
829799,Paradise City,3.0644,2022-11-11
1159139,Desencuentro,3.129,2022-11-24
1716847,The Getaway,2.6668,2022-12-23
901563,Close,3.6971,2022-11-01
1030448,ONE on Prime Video 2: Xiong vs. Lee III,4.0256,2022-09-30
1422709,Forever,2.4159,2022-12-24
899112,Violent Night,3.2649,2022-11-30
865867,Grandmas,3.4763,2022-03-31
664469,Amsterdam,3.2965,2022-09-27
1016011,Yoon-Yool and Russian Sexy Woman,3.2293,2022-06-24
900783,The Kashmir Files,3.8896,2022-03-11
877424,No Surprise,3.6482,2022-08-11
668461,Slumberland,3.2477,2022-11-18
809395,Estamos llegando,2.8407,2022-07-10
906147,Damal,3.3495,2022-10-28
713335,Petropolis,3.2354,2022-08-27
705861,Hustle,2.817,2022-06-03
924482,The Ledge,3.3435,2022-02-18
980682,Taste of Hope,2.9842,2022-06-04
1014453,Fakt Mahilao Maate,3.3537,2022-08-19
924674,Jupiter Rain,2.9123,2022-01-13
904453,Fortaleza Hotel,3.0525,2022-01-27
821420,Catch the Fair One,3.1975,2022-02-11
800815,The Pale Blue Eye,2.9097,2022-12-22
1038132,Region of Heroes,3.4807,2022-11-24
985505,Waves Apart,2.7371,2022-10-31
1031876,Minacious,2.8555,2022-09-25
950082,Palthu Janwar,3.0022,2022-09-02
1015333,The Escort Wife,2.8858,2022-09-16
619730,Don't Worry Darling,5.2628,2022-09-21
1125334,Mauvaise Blague,3.6195,2022-03-11
928710,On The Edge,2.6166,2022-02-19
1261934,Apollo Boy,3.2262,2022-04-27
1016661,Romance of Ida,2.8321,2022-07-11
1293318,We’rewolf,2.8547,2022-11-25
763285,Ambulance,3.1694,2022-03-16
1085563,Wild Night,2.6202,2022-10-22
1201914,Kolleginnen - Das böse Kind,3.3694,2022-01-22
962232,Beyond the Universe,2.8278,2022-10-26
977623,Reflection,2.4729,2022-05-26
420929,Não Temas,2.8694,2022-01-21
950051,Subject,3.3,2022-06-23
1021579,"You Eat, I Eat",3.2142,2022-06-15
947938,Dolphin Boy,3.2935,2022-04-07
429473,Lou,2.9894,2022-09-23
1021733,The Wind Will Say,2.8998,2022-10-07
900217,Solomante Theneechakal,3.2991,2022-08-18
616820,Halloween Ends,3.1753,2022-10-12
783675,The First Slam Dunk,3.0203,2022-12-03
1022973,Malikappuram,3.0067,2022-12-30
758009,Shotgun Wedding,3.0056,2022-12-28
916401,Watch the Skies,3.0024,2022-12-25
950082,Palthu Janwar,3.0022,2022-09-02
889595,Super Machi,3.0008,2022-01-14
950263,Pondicherry,2.9984,2022-02-25
